city,osm_id,landuse_type,name,lat,lon,scraped_at
Kasserine,663286197,brownfield,,35.1606415,8.8546975,2026-02-15T13:38:00.900850
Kasserine,663286198,brownfield,,35.1608312,8.8538996,2026-02-15T13:38:00.900850
Kasserine,663286199,brownfield,,35.1612884,8.8538205,2026-02-15T13:38:00.900850
Kasserine,663286200,brownfield,,35.1617296,8.8539706,2026-02-15T13:38:00.900850
Kasserine,663286202,brownfield,,35.16208,8.8539044,2026-02-15T13:38:00.900850
Kasserine,663286203,brownfield,,35.1621437,8.8534883,2026-02-15T13:38:00.900850
Kasserine,663286205,brownfield,,35.1624045,8.8533852,2026-02-15T13:38:00.900850
Kasserine,663286207,brownfield,,35.1628442,8.8534288,2026-02-15T13:38:00.900850
Kasserine,663286208,brownfield,,35.1613314,8.8548797,2026-02-15T13:38:00.900850
Kasserine,663286233,brownfield,,35.1602337,8.8559525,2026-02-15T13:38:00.900850
Kasserine,663286242,brownfield,,35.1616409,8.8559353,2026-02-15T13:38:00.900850
Kasserine,663286259,brownfield,,35.1612221,8.8566921,2026-02-15T13:38:00.900850
Kasserine,663286296,brownfield,,35.1617751,8.8586656,2026-02-15T13:38:00.900850
Kasserine,663286297,brownfield,,35.1619391,8.8511119,2026-02-15T13:38:00.900850
Kasserine,663286304,brownfield,,35.1634946,8.8528762,2026-02-15T13:38:00.900850
Kasserine,663286313,brownfield,,35.1626173,8.8529862,2026-02-15T13:38:00.900850
Kasserine,663286322,brownfield,,35.1619736,8.8530828,2026-02-15T13:38:00.900850
Kasserine,663286341,brownfield,,35.1605791,8.8529674,2026-02-15T13:38:00.900850
Kasserine,663286344,brownfield,,35.1614167,8.8530546,2026-02-15T13:38:00.900850
Kasserine,663286384,brownfield,,35.161068,8.850823,2026-02-15T13:38:00.900850
Kasserine,663286410,brownfield,,35.1614463,8.8509612,2026-02-15T13:38:00.900850
Kasserine,663286425,brownfield,,35.1621325,8.8517101,2026-02-15T13:38:00.900850
Kasserine,663286430,brownfield,,35.162398,8.8520015,2026-02-15T13:38:00.900850
Kasserine,663286436,brownfield,,35.1623959,8.8511176,2026-02-15T13:38:00.900850
Kasserine,663286456,brownfield,,35.1637268,8.8516652,2026-02-15T13:38:00.900850
Kasserine,664262221,brownfield,,35.1659304,8.8556792,2026-02-15T13:38:00.900850
Kasserine,665337612,brownfield,,35.1647058,8.8533208,2026-02-15T13:38:00.900850
Kasserine,665337616,brownfield,,35.164661,8.856024,2026-02-15T13:38:00.900850
Kasserine,667175278,brownfield,,35.1586619,8.8435064,2026-02-15T13:38:00.900850
Kasserine,668074330,brownfield,,35.1649636,8.8495014,2026-02-15T13:38:00.900850
Kasserine,668832393,brownfield,,35.1575003,8.8442718,2026-02-15T13:38:00.900850
Kasserine,668832399,brownfield,,35.1575606,8.8438735,2026-02-15T13:38:00.900850
Kasserine,668832407,brownfield,,35.1590232,8.8438547,2026-02-15T13:38:00.900850
Kasserine,668835784,brownfield,,35.1566653,8.8455533,2026-02-15T13:38:00.900850
Kasserine,668835787,brownfield,,35.1566472,8.8452079,2026-02-15T13:38:00.900850
Kasserine,668835812,brownfield,,35.1569279,8.8447787,2026-02-15T13:38:00.900850
Kasserine,668838640,brownfield,,35.1582809,8.8446942,2026-02-15T13:38:00.900850
Kasserine,668838643,brownfield,,35.1590134,8.8444984,2026-02-15T13:38:00.900850
Kasserine,668838644,brownfield,,35.1592381,8.8444782,2026-02-15T13:38:00.900850
Kasserine,668838645,brownfield,,35.1593971,8.8445843,2026-02-15T13:38:00.900850
Kasserine,668838646,brownfield,,35.159317,8.8447277,2026-02-15T13:38:00.900850
Kasserine,668900708,village_green,,35.1603737,8.8469037,2026-02-15T13:38:00.900850
Kasserine,668918797,brownfield,,35.1594439,8.8487247,2026-02-15T13:38:00.900850
Kasserine,668925880,brownfield,,35.1583939,8.8489804,2026-02-15T13:38:00.900850
Kasserine,668925881,brownfield,,35.1584673,8.8488973,2026-02-15T13:38:00.900850
Kasserine,668925889,brownfield,,35.1587196,8.8488274,2026-02-15T13:38:00.900850
Kasserine,668925890,brownfield,,35.1587974,8.8486384,2026-02-15T13:38:00.900850
Kasserine,668925898,brownfield,,35.1589486,8.8485083,2026-02-15T13:38:00.900850
Kasserine,668925908,brownfield,,35.1594354,8.848055,2026-02-15T13:38:00.900850
Kasserine,668925909,brownfield,,35.1592732,8.848228,2026-02-15T13:38:00.900850
Kasserine,668935590,brownfield,,35.1595199,8.847483,2026-02-15T13:38:00.900850
Kasserine,669014575,brownfield,,35.1570989,8.8431197,2026-02-15T13:38:00.900850
Kasserine,669014578,brownfield,,35.1570485,8.8436951,2026-02-15T13:38:00.900850
Kasserine,673299448,brownfield,,35.1604479,8.8495763,2026-02-15T13:38:00.900850
Kasserine,673299454,brownfield,,35.1598519,8.8492823,2026-02-15T13:38:00.900850
Kasserine,673302635,brownfield,,35.1599243,8.8496095,2026-02-15T13:38:00.900850
Kasserine,673311483,brownfield,,35.1593839,8.8498695,2026-02-15T13:38:00.900850
Kasserine,673312094,brownfield,,35.1593023,8.8501116,2026-02-15T13:38:00.900850
Kasserine,673312095,brownfield,,35.1592671,8.8503275,2026-02-15T13:38:00.900850
Kasserine,673312100,brownfield,,35.1594228,8.8501062,2026-02-15T13:38:00.900850
Kasserine,673315752,brownfield,,35.1580716,8.845995,2026-02-15T13:38:00.900850
Kasserine,673337494,brownfield,,35.1582261,8.8458462,2026-02-15T13:38:00.900850
Kasserine,674306176,brownfield,,35.1560705,8.8456236,2026-02-15T13:38:00.900850
Kasserine,674306220,brownfield,,35.1535935,8.8490098,2026-02-15T13:38:00.900850
Kasserine,674424592,brownfield,,35.165977,8.8485935,2026-02-15T13:38:00.900850
Kasserine,674424593,brownfield,,35.1660955,8.8483829,2026-02-15T13:38:00.900850
Kasserine,674435943,brownfield,,35.1661497,8.8493599,2026-02-15T13:38:00.900850
Kasserine,674437035,brownfield,,35.1653077,8.8507687,2026-02-15T13:38:00.900850
Kasserine,674437045,brownfield,,35.1657655,8.8504315,2026-02-15T13:38:00.900850
Kasserine,674437052,brownfield,,35.166182,8.8489713,2026-02-15T13:38:00.900850
Kasserine,675701599,brownfield,,35.1652345,8.8510176,2026-02-15T13:38:00.900850
Kasserine,675701600,brownfield,,35.1652143,8.8502719,2026-02-15T13:38:00.900850
Kasserine,675701660,brownfield,,35.164139,8.8523955,2026-02-15T13:38:00.900850
Kasserine,676394869,brownfield,,35.1565658,8.8462251,2026-02-15T13:38:00.900850
Kasserine,676394873,brownfield,,35.1568218,8.846323,2026-02-15T13:38:00.900850
Kasserine,676394880,brownfield,,35.1569864,8.8461559,2026-02-15T13:38:00.900850
Kasserine,676394902,brownfield,,35.1570589,8.8463778,2026-02-15T13:38:00.900850
Kasserine,676394903,brownfield,,35.1574156,8.8464061,2026-02-15T13:38:00.900850
Kasserine,676394904,brownfield,,35.1574185,8.8469177,2026-02-15T13:38:00.900850
Kasserine,676402015,brownfield,,35.1562009,8.8471058,2026-02-15T13:38:00.900850
Kasserine,676402016,brownfield,,35.1562659,8.8470352,2026-02-15T13:38:00.900850
Kasserine,676402025,brownfield,,35.1560584,8.8472295,2026-02-15T13:38:00.900850
Kasserine,676402035,brownfield,,35.1567256,8.8469949,2026-02-15T13:38:00.900850
Kasserine,676404934,brownfield,,35.1559274,8.847646,2026-02-15T13:38:00.900850
Kasserine,676466549,brownfield,,35.1594761,8.8503369,2026-02-15T13:38:00.900850
Kasserine,676466570,brownfield,,35.1585008,8.849382,2026-02-15T13:38:00.900850
Kasserine,676466576,brownfield,,35.1571225,8.8426336,2026-02-15T13:38:00.900850
Kasserine,676466585,brownfield,,35.1567332,8.8445689,2026-02-15T13:38:00.900850
Kasserine,676466586,brownfield,,35.1558693,8.8453594,2026-02-15T13:38:00.900850
Kasserine,676466587,brownfield,,35.1555907,8.845466,2026-02-15T13:38:00.900850
Kasserine,676466588,brownfield,,35.155679,8.8455371,2026-02-15T13:38:00.900850
Kasserine,676466600,brownfield,,35.1556807,8.8466723,2026-02-15T13:38:00.900850
Kasserine,676466613,brownfield,,35.1564186,8.8459629,2026-02-15T13:38:00.900850
Kasserine,676466628,brownfield,,35.1562752,8.8467809,2026-02-15T13:38:00.900850
Kasserine,676466631,brownfield,,35.1563177,8.8465698,2026-02-15T13:38:00.900850
Kasserine,676466650,brownfield,,35.156691,8.8484848,2026-02-15T13:38:00.900850
Kasserine,676466651,brownfield,,35.1566335,8.848747,2026-02-15T13:38:00.900850
Kasserine,676467384,brownfield,,35.1586647,8.8481181,2026-02-15T13:38:00.900850
Kasserine,676468523,brownfield,,35.1592933,8.8511819,2026-02-15T13:38:00.900850
Kasserine,676468529,brownfield,,35.1592352,8.8515001,2026-02-15T13:38:00.900850
Kasserine,676468530,brownfield,,35.1593959,8.8513478,2026-02-15T13:38:00.900850
Kasserine,676468538,brownfield,,35.159459,8.8507117,2026-02-15T13:38:00.900850
Kasserine,676468545,brownfield,,35.1590051,8.851515,2026-02-15T13:38:00.900850
Kasserine,676468553,brownfield,,35.1586756,8.8509349,2026-02-15T13:38:00.900850
Kasserine,676469015,brownfield,,35.1588615,8.8523612,2026-02-15T13:38:00.900850
Kasserine,676469034,brownfield,,35.1592425,8.8519013,2026-02-15T13:38:00.900850
Kasserine,676469035,brownfield,,35.159737,8.8521561,2026-02-15T13:38:00.900850
Kasserine,676470233,brownfield,,35.1539756,8.8499882,2026-02-15T13:38:00.900850
Kasserine,683616982,brownfield,,35.1593516,8.8530607,2026-02-15T13:38:00.900850
Kasserine,683616990,brownfield,,35.1593434,8.8547538,2026-02-15T13:38:00.900850
Kasserine,683616991,brownfield,,35.1588017,8.8529051,2026-02-15T13:38:00.900850
Kasserine,683617067,brownfield,,35.1588275,8.8516699,2026-02-15T13:38:00.900850
Kasserine,683617069,brownfield,,35.1585608,8.8519449,2026-02-15T13:38:00.901782
Kasserine,683617077,brownfield,,35.1586554,8.8515834,2026-02-15T13:38:00.901782
Kasserine,683617192,brownfield,,35.1591872,8.8538868,2026-02-15T13:38:00.901782
Kasserine,683617193,brownfield,,35.1592042,8.8535408,2026-02-15T13:38:00.901782
Kasserine,683617310,brownfield,,35.155378,8.8459984,2026-02-15T13:38:00.901782
Kasserine,683617781,brownfield,,35.1588565,8.8450201,2026-02-15T13:38:00.901782
Kasserine,695938187,residential,,35.1832971,8.86943,2026-02-15T13:38:00.901782
Kasserine,695938188,residential,,35.1822747,8.8571242,2026-02-15T13:38:00.901782
Kasserine,851579786,cemetery,Cimetière de Kasserine,35.1697537,8.8558945,2026-02-15T13:38:00.901782
Kasserine,1013648693,cemetery,,35.2106927,8.8672457,2026-02-15T13:38:00.901782
Kasserine,1065846596,cemetery,مقبرة الإسبان,35.1657548,8.8366448,2026-02-15T13:38:00.901782
Kasserine,1069804824,greenfield,,35.1628458,8.8281118,2026-02-15T13:38:00.901782
Kasserine,1069804830,greenfield,,35.1624131,8.8282737,2026-02-15T13:38:00.901782
Kasserine,1069806884,greenfield,,35.1638994,8.8286065,2026-02-15T13:38:00.901782
Kasserine,1069903700,grass,,35.1703989,8.8429706,2026-02-15T13:38:00.901782
Kasserine,1070337607,brownfield,,35.1583531,8.827547,2026-02-15T13:38:00.901782
Kasserine,1070344423,grass,,35.1573178,8.8284295,2026-02-15T13:38:00.901782
Kasserine,1070344431,landfill,,35.1569318,8.8275049,2026-02-15T13:38:00.901782
Kasserine,1070344445,grass,,35.1594507,8.8270076,2026-02-15T13:38:00.901782
Kasserine,1074924104,greenfield,,35.1552396,8.8391632,2026-02-15T13:38:00.901782
Kasserine,1074924112,greenfield,,35.1551044,8.8385802,2026-02-15T13:38:00.901782
Kasserine,1074926356,greenfield,,35.1546181,8.8409295,2026-02-15T13:38:00.901782
Kasserine,1074926360,greenfield,,35.154762,8.8403295,2026-02-15T13:38:00.901782
Kasserine,1074926370,greenfield,,35.154229,8.8399266,2026-02-15T13:38:00.901782
Kasserine,1074930271,greenfield,,35.1539724,8.8403634,2026-02-15T13:38:00.901782
Kasserine,1074930274,greenfield,,35.1541999,8.8409199,2026-02-15T13:38:00.901782
Kasserine,1074947401,greenfield,,35.1537257,8.8412661,2026-02-15T13:38:00.901782
Kasserine,1074957126,greenfield,,35.1531799,8.8413524,2026-02-15T13:38:00.901782
Kasserine,1074957429,greenfield,,35.1537011,8.8400925,2026-02-15T13:38:00.901782
Kasserine,1074964438,greenfield,,35.1565836,8.8346517,2026-02-15T13:38:00.901782
Kasserine,1074971099,greenfield,,35.1549435,8.8344203,2026-02-15T13:38:00.901782
Kasserine,1074973048,brownfield,,35.153537,8.8343003,2026-02-15T13:38:00.901782
Kasserine,1074973052,greenfield,,35.1539148,8.8370916,2026-02-15T13:38:00.901782
Kasserine,1074974108,greenfield,,35.1537253,8.8367729,2026-02-15T13:38:00.901782
Kasserine,1091051515,brownfield,,35.1585555,8.8270112,2026-02-15T13:38:00.901782
Kasserine,1091051524,brownfield,,35.1587517,8.8278724,2026-02-15T13:38:00.901782
Kasserine,1091051532,brownfield,,35.1580552,8.828763,2026-02-15T13:38:00.901782
Kasserine,1091051537,brownfield,,35.1583308,8.8282292,2026-02-15T13:38:00.901782
Kasserine,1092129582,depot,ste regionale de transport de kasserine,35.1746895,8.8441403,2026-02-15T13:38:00.901782
Kasserine,1092129585,greenfield,,35.1534707,8.8308157,2026-02-15T13:38:00.901782
Kasserine,1092152737,brownfield,,35.1537973,8.8340837,2026-02-15T13:38:00.901782
Kasserine,1092324991,orchard,,35.1513939,8.8328183,2026-02-15T13:38:00.901782
Kasserine,1092324992,brownfield,,35.1517898,8.8337156,2026-02-15T13:38:00.901782
Kasserine,1094171649,orchard,,35.1552893,8.8422878,2026-02-15T13:38:00.901782
Kasserine,1094171650,orchard,,35.1547021,8.8414932,2026-02-15T13:38:00.901782
Kasserine,1094171651,brownfield,,35.1554008,8.8285281,2026-02-15T13:38:00.901782
Kasserine,1094171652,brownfield,,35.1613195,8.8175159,2026-02-15T13:38:00.901782
Kasserine,1094171653,brownfield,,35.1619216,8.81784,2026-02-15T13:38:00.901782
Kasserine,1094171656,brownfield,,35.1607838,8.8194596,2026-02-15T13:38:00.901782
Kasserine,1094171657,brownfield,,35.1601071,8.8183636,2026-02-15T13:38:00.901782
Kasserine,1094171658,brownfield,,35.1601992,8.8195946,2026-02-15T13:38:00.901782
Kasserine,1094171659,brownfield,,35.159765,8.8189699,2026-02-15T13:38:00.901782
Kasserine,1094171660,brownfield,,35.1600053,8.8199419,2026-02-15T13:38:00.901782
Kasserine,1094171661,brownfield,,35.1593228,8.8191025,2026-02-15T13:38:00.901782
Kasserine,1094171662,brownfield,,35.158948,8.8188969,2026-02-15T13:38:00.901782
Kasserine,1094171663,orchard,,35.1588633,8.8201971,2026-02-15T13:38:00.901782
Kasserine,1094171664,brownfield,,35.15995,8.81633,2026-02-15T13:38:00.901782
Kasserine,1094207985,brownfield,,35.158139,8.8175275,2026-02-15T13:38:00.901782
Kasserine,1094207986,brownfield,,35.159099,8.8180082,2026-02-15T13:38:00.901782
Kasserine,1094207987,brownfield,,35.1536706,8.8377715,2026-02-15T13:38:00.901782
Kasserine,1094208972,orchard,,35.150487,8.8326811,2026-02-15T13:38:00.901782
Kasserine,1094208976,orchard,,35.1492773,8.8335902,2026-02-15T13:38:00.901782
Kasserine,1094208977,orchard,,35.1497008,8.8337773,2026-02-15T13:38:00.901782
Kasserine,1094216896,orchard,,35.1508306,8.8456664,2026-02-15T13:38:00.901782
Kasserine,1094216897,brownfield,,35.1529653,8.8440664,2026-02-15T13:38:00.901782
Kasserine,1094216898,brownfield,,35.1566593,8.8407185,2026-02-15T13:38:00.901782
