etat_score,etat_prob_renove,standing_score,standing_prob_luxe
1,0.6063,2,0.3393
1,0.7497,2,0.3528
1,0.6326,3,0.3726
1,0.614,2,0.3607
1,0.5373,3,0.3605
1,0.6314,2,0.3601
1,0.6069,2,0.3637
1,0.691,3,0.3853
1,0.6982,3,0.3883
1,0.6132,3,0.3556
1,0.6496,3,0.3626
1,0.6835,2,0.3646
1,0.7074,3,0.425
1,0.6667,2,0.3644
1,0.7462,2,0.3764
1,0.594,3,0.3558
1,0.697,2,0.3607
1,0.5257,2,0.3275
1,0.607,3,0.4122
0,0.4729,1,0.3207
1,0.5672,2,0.3568
1,0.6641,3,0.38
1,0.5461,3,0.3515
1,0.7975,2,0.3824
1,0.6184,2,0.3679
1,0.6063,2,0.3393
1,0.5334,2,0.3425
1,0.5882,2,0.3239
1,0.5615,3,0.3538
0,0.4729,2,0.3457
1,0.5694,3,0.351
1,0.7013,3,0.3765
1,0.5248,3,0.3605
1,0.6919,3,0.3929
1,0.6648,2,0.3283
1,0.6872,3,0.3515
1,0.7376,3,0.4094
1,0.6523,2,0.3644
1,0.5082,2,0.3335
1,0.5436,3,0.35
1,0.6966,2,0.3712
1,0.6994,3,0.3856
1,0.6404,3,0.3782
1,0.7302,2,0.3681
1,0.6293,3,0.3682
0,0.4729,1,0.3207
1,0.8054,3,0.3911
1,0.5333,3,0.3644
1,0.7642,3,0.4099
1,0.7594,2,0.3658
1,0.6527,3,0.3847
1,0.6523,2,0.3644
1,0.7544,3,0.4568
1,0.7346,2,0.3591
1,0.6122,2,0.3219
1,0.5289,2,0.3428
1,0.5412,3,0.3611
1,0.7611,3,0.39
1,0.7192,3,0.3973
1,0.7095,2,0.3858
1,0.6469,3,0.3919
1,0.6517,2,0.3255
1,0.5245,1,0.3326
1,0.6858,2,0.3732
1,0.74,2,0.3538
1,0.5569,3,0.3745
1,0.5737,3,0.355
1,0.7462,2,0.3764
1,0.8054,3,0.3911
1,0.6693,3,0.4103
1,0.5022,3,0.3505
1,0.548,3,0.3542
0,0.4729,1,0.3207
