gouvernorat_enc,ville_enc,lat,lon,surface_m2,nb_pieces,nb_chambres,score_attractivite,market_tension,cycle_marche,prix_region_median,text_embedding_score,nb_images,source_enc,has_ascenseur,has_meuble,has_terrasse,has_piscine,has_vue_mer,has_garage,has_securite,has_climatisation,has_chauffage,has_cuisine_equip,has_double_vitrage,has_porte_blindee,has_concierge,has_jardin,has_standing,has_vue_montagne,prix,image_url
16,0.32,36.4561,10.7376,45.0,2.0,1.0,0.5,0.4552,2.0,154974.0,0.275,4,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,248000.0,https://www.mubawab-media.com/ad/8/297/962F/h/b6cec4a0-1b96-4dfb-bec8-4bfb7e2f6630_81909358.avif
23,0.092,36.8,10.1,100.0,3.0,2.0,0.5,0.3155,2.0,110184.0,0.3144,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,135000.0,https://www.mubawab-media.com/ad/8/304/367F/h/1_81977174.avif
1,0.3533,36.899,10.2358,214.0,4.0,3.0,0.5,0.4235,2.0,43985.0,0.3156,4,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,635000.0,https://www.mubawab-media.com/ad/7/996/323F/h/thumb_238943_property_xlarge_78821643.avif
1,0.3533,36.899,10.2358,104.0,3.0,2.0,0.5,0.4235,2.0,43985.0,0.2746,4,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,530000.0,https://www.mubawab-media.com/ad/8/093/751F/h/thumb_1015631_property_xlarge_79786133.avif
1,0.3533,36.899,10.2358,150.0,4.0,3.0,0.5,0.4235,2.0,43985.0,0.3152,4,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,630000.0,https://www.mubawab-media.com/ad/7/997/821F/h/thumb_921207_property_xlarge_79013324.avif
3,0.32,36.8,10.1,120.0,3.0,2.0,0.5,0.2195,2.0,110184.0,0.3152,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,380000.0,https://www.mubawab-media.com/ad/8/111/786F/h/03%20%281%29_79962346_79962359.avif
20,0.3333,35.8245,10.6346,95.0,3.0,2.0,0.5,0.2902,2.0,150620.48,0.3085,4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,250000.0,https://www.mubawab-media.com/ad/8/287/936F/h/WhatsApp%20Image%202026-01-13%20at%2016.25.03%20%287%29_81800522.avif
23,0.6867,36.819,10.2358,115.0,3.0,2.0,0.5,0.517,2.0,43985.0,0.3168,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419000.0,nan
23,0.4,36.8769,10.3247,119.0,3.0,2.0,0.5,0.8015,2.0,2562.03,0.3302,4,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,605000.0,https://www.mubawab-media.com/ad/7/903/087F/h/VUE%206_44687753_73907093.avif
1,0.3533,36.899,10.2358,129.0,4.0,3.0,0.5,0.4235,2.0,43985.0,0.3144,4,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,817920.0,https://www.mubawab-media.com/ad/8/257/527F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_41e372a0_81462149.avif
23,0.6867,36.819,10.1658,65.0,2.0,1.0,0.5,0.5524,2.0,2562.03,0.3273,4,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,370000.0,https://www.mubawab-media.com/ad/7/907/104F/h/Capture%20d%27%C3%A9cran%202025-12-22%20114548_81739644.avif
20,0.3067,36.8,10.1,145.0,1.0,3.0,0.5,0.3807,2.0,110184.0,0.2794,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,280000.0,https://www.mubawab-media.com/ad/8/301/465F/h/1_81947454.avif
23,0.4,36.8769,10.3247,121.0,3.0,2.0,0.5,0.8015,2.0,2562.03,0.2762,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,340000.0,https://www.mubawab-media.com/ad/8/283/657F/h/589988999_1999865923923607_4049922561364588805_n_81756299.avif
23,0.4,36.8769,10.3247,130.0,3.0,2.0,0.5,0.8015,2.0,2562.03,0.3116,4,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,360000.0,https://www.mubawab-media.com/ad/8/295/248F/h/a487ad88-4922-404a-972d-4a15b88b6f78_81880231.avif
23,0.4,36.8769,10.3247,136.0,4.0,3.0,0.5,0.8015,2.0,2562.03,0.2762,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,420000.0,https://www.mubawab-media.com/ad/8/283/678F/h/577879951_1924173805196498_8839649052349571021_n_81756479.avif
16,0.2833,36.4561,10.7376,62.0,2.0,2.0,0.5,0.4454,2.0,154974.0,0.3124,4,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,255000.0,https://www.mubawab-media.com/ad/8/294/092F/h/thumb_1268309_property_xlarge_81865127.avif
20,0.3067,35.8604,10.5953,100.0,1.0,3.0,0.5,0.3642,2.0,150620.48,0.3132,4,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,400000.0,https://www.mubawab-media.com/ad/8/301/994F/h/WhatsApp%20Image%202026-02-11%20at%2018.26.20_81953007.avif
16,0.13,36.8,10.1,130.0,4.0,3.0,0.5,0.2426,2.0,110184.0,0.316,4,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,310000.0,https://www.mubawab-media.com/ad/8/268/818F/h/gallery%20%281%29_81596168.avif
23,0.32,36.844,10.192,140.0,4.0,3.0,0.5,0.3403,2.0,43985.0,0.2738,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,310000.0,https://www.mubawab-media.com/ad/8/003/736F/h/20240925_103533_78898410.avif
23,0.6867,36.819,10.1658,134.0,3.0,2.0,0.5,0.5524,2.0,2562.03,0.3467,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,674000.0,https://www.mubawab-media.com/ad/8/286/498F/h/photo_00_81785363.avif
23,0.092,36.8,10.1,100.0,3.0,2.0,0.5,0.3155,2.0,110184.0,0.3144,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,135000.0,https://www.mubawab-media.com/ad/8/304/367F/h/1_81977174.avif
23,0.4,36.8769,10.3247,110.0,4.0,3.0,0.5,0.8015,2.0,2562.03,0.2694,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,375000.0,https://www.mubawab-media.com/ad/8/218/716F/h/gallery_81056240.avif
23,0.4,36.8769,10.3247,106.0,3.0,2.0,0.5,0.8015,2.0,2562.03,0.2694,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,250000.0,https://www.mubawab-media.com/ad/8/262/776F/h/gallery_81526310.avif
23,0.6867,36.819,10.1658,112.0,3.0,2.0,0.5,0.5524,2.0,2562.03,0.2694,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,590478.0,https://www.mubawab-media.com/ad/8/271/216F/h/gallery_81621523.avif
23,0.6867,36.819,10.1658,128.0,3.0,3.0,0.5,0.5524,2.0,2562.03,0.2694,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,539994.0,https://www.mubawab-media.com/ad/8/271/217F/h/gallery_81621524.avif
23,0.6867,36.819,10.1658,62.0,2.0,1.0,0.5,0.5524,2.0,2562.03,0.2694,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,260778.0,https://www.mubawab-media.com/ad/8/271/219F/h/gallery_81621526.avif
23,0.092,36.8,10.1,80.0,3.0,2.0,0.5,0.3155,2.0,110184.0,0.3144,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,160000.0,https://www.mubawab-media.com/ad/8/304/169F/h/1_81975066.avif
23,0.4,36.8769,10.3247,126.0,4.0,3.0,0.5,0.8015,2.0,2562.03,0.2762,4,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,310000.0,https://www.mubawab-media.com/ad/8/283/801F/h/553813120_4272564002963768_1771023649762954099_n_81794114.avif
23,0.4,36.8769,10.3247,138.0,4.0,3.0,0.5,0.8015,2.0,2562.03,0.2782,4,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,394000.0,https://www.mubawab-media.com/ad/8/287/205F/h/550470467_2290440904736990_8862465445398018373_n_81792884.avif
3,0.32,36.8,10.1,103.0,3.0,2.0,0.5,0.2195,2.0,110184.0,0.2762,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,326000.0,https://www.mubawab-media.com/ad/8/111/787F/h/02%20%281%29_79962345_79962361.avif
20,0.3333,35.8245,10.6346,95.0,3.0,2.0,0.5,0.2902,2.0,150620.48,0.3085,4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,250000.0,https://www.mubawab-media.com/ad/8/287/936F/h/WhatsApp%20Image%202026-01-13%20at%2016.25.03%20%287%29_81800522.avif
20,0.3333,35.8245,10.6346,134.0,4.0,3.0,0.5,0.2902,2.0,150620.48,0.3317,4,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,220000.0,https://www.mubawab-media.com/ad/8/287/935F/h/WhatsApp%20Image%202026-01-16%20at%2009.45.40%20%283%29_81800512.avif
23,0.6867,36.819,10.1658,90.0,3.0,2.0,0.5,0.5524,2.0,2562.03,0.2694,4,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,530000.0,https://www.mubawab-media.com/ad/8/299/575F/h/gallery_81928561.avif
23,0.6867,36.819,10.1658,223.0,3.0,2.0,0.5,0.5524,2.0,2562.03,0.2714,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1800000.0,https://www.mubawab-media.com/ad/8/298/722F/h/gallery_81919804.avif
23,0.6867,36.819,10.1658,145.0,3.0,2.0,0.5,0.5524,2.0,2562.03,0.2694,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,550000.0,https://www.mubawab-media.com/ad/8/294/505F/h/gallery_81869658.avif
23,0.4,36.819,10.2358,115.0,3.0,2.0,0.5,0.517,2.0,43985.0,0.3168,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240000.0,nan
23,0.4,36.8769,10.3247,122.0,3.0,3.0,0.5,0.8015,2.0,2562.03,0.3302,2,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,850000.0,https://www.mubawab-media.com/ad/7/909/493F/h/VUE%202_74821761.avif
1,0.3533,36.899,10.2358,105.0,3.0,2.0,0.5,0.4235,2.0,43985.0,0.316,4,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,672341.0,https://www.mubawab-media.com/ad/8/257/532F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_e154bac4_81462182.avif
23,0.4,36.8769,10.3247,160.0,3.0,3.0,0.5,0.8015,2.0,2562.03,0.324,4,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,330000.0,https://www.mubawab-media.com/ad/8/285/892F/h/photo_00_81779006.avif
