gouvernorat_enc,ville_enc,lat,lon,surface_m2,nb_pieces,nb_chambres,score_attractivite,market_tension,cycle_marche,prix_region_median,text_embedding_score,nb_images,source_enc,has_ascenseur,has_meuble,has_terrasse,has_piscine,has_vue_mer,has_garage,has_securite,has_climatisation,has_chauffage,has_cuisine_equip,has_double_vitrage,has_porte_blindee,has_concierge,has_jardin,has_standing,has_vue_montagne,prix,image_url
23,0.8148,36.819,10.2358,250.0,4.0,3.0,0.5,0.517,2.0,43985.0,0.3168,4,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,7500.0,https://www.mubawab-media.com/ad/8/250/644F/h/1e993145-b37c-4b29-a778-af717b76fc53_81392444.avif
23,0.8148,36.8769,10.3247,200.0,3.0,2.0,0.5,0.8015,2.0,2562.03,0.2876,4,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,2600.0,https://www.mubawab-media.com/ad/8/293/590F/h/WhatsApp%20Image%202026-02-10%20at%2019.06.59_81944623.avif
23,0.7037,36.819,10.2358,80.0,3.0,3.0,0.5,0.517,2.0,43985.0,0.3168,2,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,2850.0,nan
23,0.463,36.819,10.2358,130.0,3.0,2.0,0.5,0.517,2.0,43985.0,0.3168,3,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1700.0,nan
16,0.3333,36.4561,10.7376,60.0,2.0,1.0,0.5,0.4454,2.0,154974.0,0.2738,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,700.0,https://www.mubawab-media.com/ad/8/245/994F/h/1_81346110.avif
1,0.3704,36.899,10.2358,60.0,2.0,1.0,0.5,0.4235,2.0,43985.0,0.3269,4,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1200.0,https://www.mubawab-media.com/ad/8/305/576F/h/thumb_1280995_property_xlarge_81988540.avif
20,0.3333,35.8245,10.6346,80.0,3.0,2.0,0.5,0.517,2.0,150620.48,0.302,4,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,800.0,https://www.mubawab-media.com/ad/8/305/578F/h/WhatsApp%20Image%202026-02-18%20at%2014.02.34%20%281%29_81988531.avif
16,0.3611,36.4561,10.7376,110.0,5.0,2.0,0.5,0.4552,2.0,154974.0,0.318,4,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1100.0,https://www.mubawab-media.com/ad/8/236/089F/h/1_81242345.avif
16,0.3333,36.4561,10.7376,120.0,3.0,2.0,0.5,0.4454,2.0,154974.0,0.3152,4,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1600.0,https://www.mubawab-media.com/ad/8/219/528F/h/thumb_1163974_property_xlarge_81064867.avif
16,0.3611,36.4561,10.7376,120.0,5.0,3.0,0.5,0.4552,2.0,154974.0,0.3192,4,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1400.0,https://www.mubawab-media.com/ad/8/288/241F/h/1_81803925.avif
23,0.8148,36.819,10.2358,120.0,3.0,2.0,0.5,0.517,2.0,43985.0,0.3168,3,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1800.0,nan
23,0.7037,36.819,10.1658,117.0,3.0,2.0,0.5,0.5524,2.0,2562.03,0.3367,4,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,2500.0,https://www.mubawab-media.com/ad/8/301/420F/h/WhatsApp%20Image%202026-02-09%20at%203.14.58%20PM%20%283%29_81947033.avif
23,0.8148,36.8769,10.3247,155.0,3.0,3.0,0.5,0.8015,2.0,2562.03,0.2706,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1950.0,https://www.mubawab-media.com/ad/8/286/573F/h/photo_00_81922678.avif
23,0.8148,36.8769,10.3247,200.0,3.0,3.0,0.5,0.8015,2.0,2562.03,0.3589,4,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,2800.0,https://www.mubawab-media.com/ad/8/125/563F/h/photo_0_80103072.avif
16,0.3333,36.4561,10.7376,100.0,4.0,3.0,0.5,0.4454,2.0,154974.0,0.275,4,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,800.0,https://www.mubawab-media.com/ad/8/243/204F/h/596821663_122151682634862690_2102902546576526949_n_81663070.avif
20,0.3333,35.8245,10.6346,70.0,3.0,2.0,0.5,0.517,2.0,150620.48,0.3148,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700.0,https://www.mubawab-media.com/ad/8/289/691F/h/thumb_916717_property_big_81818873.avif
23,0.7037,36.819,10.1658,150.0,3.0,2.0,0.5,0.5524,2.0,2562.03,0.3369,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2600.0,https://www.mubawab-media.com/ad/8/251/002F/h/thumb_1203941_property_xlarge_81395563.avif
